"","2.5%","50%","97.5%"
"GM11930",0.0594021108569536,0.157490510304306,0.383765873531594
"GM12003",0.0491292807425116,0.123327065601946,0.276242421415563
"GM12154",0.0796196695000206,0.19585604922447,0.416591659341544
"GM12751",0.0917567482803906,0.197498193087113,0.358263286333303
"GM12801",0.122664387856892,0.259423671086616,0.481933411044197
"GM12872",0.290591381307037,0.513212704481683,0.775136473683496
"GM18525",0.071997142580122,0.179370742414717,0.370914188077415
"GM18573",0.0570868209005707,0.157267667166923,0.367370031059912
"GM18740",0.0886461613591795,0.246626852155257,0.541652010000256
"GM18741",0.234277751295867,0.437123802127003,0.692035474468098
"GM18783",0.057707875690112,0.145931015725237,0.332166261212539
"GM18873",0.0304395246324268,0.0878969692574102,0.230443703981335
"GM18945",0.206171374493999,0.361371642457069,0.567161055298925
"GM18955",0.070598740210804,0.186800131481514,0.386715178638449
"GM18957",0.072200359978453,0.249550296816956,0.592318160502763
"GM19003",0.186705142368027,0.348083490953559,0.551615542911738
"GM19089",0.0506202615267191,0.117194558221193,0.237523161602208
"GM19312",0.141138802777282,0.335546584354044,0.63241774942707
"GM19679",0.0476893672916005,0.140270693508624,0.353706098311094
"GM20502",0.100772966131623,0.234967295156776,0.442944730722365
"GM20521",0.0689250531370301,0.151451258262933,0.293215090398633
"GM20752",0.228648656918796,0.406467769503604,0.636029798685856
"GM20819",0.120977687166612,0.280219266662728,0.541625969067513
"HG00243",0.0490639705813286,0.13332043522588,0.303566273069313
"HG01149",0.0755038974821016,0.247502055869026,0.574044463285727
"HG01256",0.100471590316159,0.26966756930528,0.575802759719775
"HG01278",0.227346772234697,0.361203077682859,0.51592994316393
"HG01353",0.0426521916294833,0.145801553483572,0.406094124216268
"HG01354",0.0340382923432203,0.102873598092546,0.267382617722366
"HG01488",0.0394317144791416,0.107054604340665,0.251078995454035
"HG01494",0.20855908541821,0.443995303491851,0.770466392391338
"GM07031",0.143842773424879,0.293161926443762,0.495532227828498
"GM07055",0.404056154784195,0.696186650449232,0.980340191988513
"GM12892",0.025408135778321,0.0667617978346185,0.155186969749765
"GM18531",0.0494267605821491,0.141091599787983,0.352874757111019
"GM18544",0.152842143834352,0.278869420034845,0.444451016934262
"GM18606",0.0467571159180867,0.139735418251623,0.33989765636472
"GM18612",0.00827474912249709,0.0308146875667076,0.0954299967296119
"GM18798",0.0624726373113625,0.155237976848427,0.354553654639698
"GM18859",0.0692280839396073,0.148401992598339,0.282755862847402
"GM18869",0.00947308960924716,0.033381180189683,0.100808585538231
"GM18916",0.244933934821609,0.429696663236833,0.650513549573552
"GM18923",0.010839083835426,0.0345445302397413,0.0963233720956959
"GM18986",0.0345867089012996,0.126047274895012,0.333253854824046
"GM19002",0.0127259103093357,0.0428572993932851,0.129994685496694
"GM19026",0.0533063886735874,0.140449911107494,0.310333330135268
"GM19041",0.0257234729975198,0.0785268697752739,0.203211396736345
"GM19079",0.208169284348842,0.40770565798487,0.630336293302033
"GM19093",0.0614045147940084,0.171980560679138,0.388746976129592
"GM19116",0.0598206853802804,0.14782112776393,0.310472844580153
"GM19120",0.0316243771979378,0.0987637288194439,0.250961968565727
"GM19371",0.0607731139873813,0.151764085653728,0.307489412795244
"GM19441",0.0378717029521744,0.111412127255105,0.288708919382308
"GM19454",0.0465092843728115,0.131561881231682,0.305667526375609
"GM19716",0.0572099897412063,0.165918606116112,0.396059025747182
"GM19722",0.129975727538285,0.264763781992191,0.473740597599454
"GM19729",0.0330718023855008,0.103979442282218,0.271023672144855
"GM19730",0.0706510881443049,0.209067950319642,0.453903361110735
"GM19795",0.0435028031753287,0.113390755012198,0.24556270359277
"GM20532",0.0321494973383782,0.0953058117524079,0.247172555921937
"GM20759",0.0405202892802997,0.12073562168609,0.29797693921413
"GM20766",0.0234483736316439,0.0715755958908814,0.202297572737846
"GM20773",0.0425705520502088,0.127291558880371,0.327629349865584
"HG00130",0.0403337478944525,0.10414083054448,0.236719540887306
"HG00141",0.112296388689655,0.24453422553459,0.457264939363997
"HG00150",0.0212977437946971,0.0703950261198849,0.189758454780516
"HG00237",0.323433211910531,0.513630214531137,0.748890784951107
"HG00240",0.0650033222033525,0.169407168914766,0.386486671708265
"HG01260",0.0313578951458807,0.0962597304057654,0.253039886775901
"GM12344",0.0274350929732676,0.0964871295354068,0.279522382695388
"GM18517",0.0286713653712821,0.0829982971024875,0.218097368662308
"GM18577",0.0560598929226025,0.157031067098802,0.351822693096928
"GM18914",0.105354772115667,0.274851641388208,0.584792410406519
"GM19056",0.159373272091742,0.337883666637618,0.596924924995456
"GM19067",0.0514108479562713,0.138760734584216,0.310300579662005
"GM19355",0.0167414292657446,0.0560455582061983,0.161809786019953
"GM19438",0.0223387867060974,0.0701158285817119,0.186528553815329
"GM19649",0.063991339737453,0.180663733666955,0.445148849365435
"GM19657",0.010901779786697,0.0366176590165738,0.103310372665919
