"CellLine","EC10_50","EC10_05","EC10_95"
"HG00142",0.21549535061305,0.106240661277565,0.389805047676486
"HG01441",0.227682809568861,0.116697346856361,0.376999589792157
"GM20502",0.234967295156776,0.116864376506208,0.400437285756961
"HG00141",0.24453422553459,0.129361447247323,0.417734487793056
"GM18740",0.246626852155257,0.106736784649915,0.478205888629202
"HG01149",0.247502055869026,0.0926066490638405,0.516643520960126
"GM18957",0.249550296816956,0.0903699545140737,0.510773033508968
"GM12801",0.259423671086616,0.139345873930554,0.438988103175219
"GM19722",0.264763781992191,0.145939855071481,0.435516859508227
"HG01256",0.26966756930528,0.120366857043941,0.507977517473065
"GM18914",0.274851641388208,0.124180098254889,0.522704481348404
"GM18544",0.278869420034845,0.169999819162823,0.413601777487958
"GM20819",0.280219266662728,0.140053405734651,0.492824406344972
"GM07031",0.293161926443762,0.164091740834009,0.463944507752967
"HG00113",0.32390695139489,0.173905639765604,0.504802745584235
"GM19312",0.335546584354044,0.165950685610684,0.578039575072452
"GM19056",0.337883666637618,0.181244242011202,0.549465782239843
"GM19003",0.348083490953559,0.212333902778524,0.517133478602021
"GM20772",0.356432670816383,0.219659272715358,0.530720964476296
"HG01278",0.361203077682859,0.24615746918232,0.487511525776987
"GM18945",0.361371642457069,0.230367046844714,0.53416262831916
"HG01345",0.369442021082913,0.241024909829695,0.52604126097246
"GM19123",0.382002652469015,0.2329812452421,0.553888140647289
"GM20752",0.406467769503604,0.251614623500612,0.591965795264955
"GM19079",0.40770565798487,0.236076599647791,0.596449813312526
"HG01440",0.41939089310885,0.288661208363435,0.553299165875125
"GM18916",0.429696663236833,0.274121406376843,0.61532358697081
"GM18741",0.437123802127003,0.259046160256576,0.644069079807007
"HG01494",0.443995303491851,0.239019734352214,0.71206322755608
"GM18622",0.504949573885088,0.286198933092974,0.746626467883846
"GM12872",0.513212704481683,0.32293378519857,0.725772072501669
"HG00237",0.513630214531137,0.352544619372737,0.706337090781818
"GM07055",0.696186650449232,0.455372725228472,0.936134115275636
