"CellLine","EC10_50","EC10_05","EC10_95"
"GM18612",0.0308146875667076,0.0100743729237649,0.0777382855245334
"GM18869",0.033381180189683,0.0119383980754582,0.0852083485358513
"GM18923",0.0345445302397413,0.013573261594271,0.0823030721903925
"GM20818",0.0365075687009996,0.0126871018754209,0.0950722439095173
"GM19657",0.0366176590165738,0.0134042310775476,0.0882646604383698
"GM19002",0.0428572993932851,0.0150746175977121,0.110933100316991
"GM19773",0.0503094691128473,0.0190388080615869,0.118679082571259
"GM19355",0.0560455582061983,0.0207096050166703,0.137345697873052
"GM12892",0.0667617978346185,0.030103554674431,0.136075682905496
"GM19438",0.0701158285817119,0.027559208172571,0.163075092228845
"HG00150",0.0703950261198849,0.0260548149228926,0.162324603318978
"GM20766",0.0715755958908814,0.0284506276246138,0.172161028018419
"GM19041",0.0785268697752739,0.0317738927911966,0.175025675460336
"GM18517",0.0829982971024875,0.0347275199071978,0.184632323923771
"GM12341",0.0857050913926299,0.03547345129015,0.18606744486581
"GM18873",0.0878969692574102,0.0361883048794807,0.200372260231164
"GM20770",0.0892223369562316,0.0359669397683046,0.19946027972182
"HG00156",0.0914199708108155,0.0428020299060244,0.177973226541654
"GM20532",0.0953058117524079,0.0380308214414116,0.212854459669669
"HG01260",0.0962597304057654,0.0372584319622764,0.222211654973682
"GM12344",0.0964871295354068,0.0347085372580867,0.236746884710317
"GM19120",0.0987637288194439,0.0388201909646192,0.219828054388473
"HG01354",0.102873598092546,0.0414424023943594,0.236050424160015
"GM19729",0.103979442282218,0.0408301275447889,0.236078947861298
"HG00130",0.10414083054448,0.0481193204904323,0.208808750268017
"HG01488",0.107054604340665,0.0466441267809843,0.221152558175406
"GM19441",0.111412127255105,0.045014249585832,0.248064297734598
"GM19795",0.113390755012198,0.0523266378512874,0.216995187901021
"GM19089",0.117194558221193,0.0585113308323831,0.215593714805
"GM20759",0.12073562168609,0.0485496718259613,0.257150237447349
"GM12003",0.123327065601946,0.0571707861540897,0.243814254640461
"GM18986",0.126047274895012,0.0431826223030113,0.2883781296993
"GM20773",0.127291558880371,0.0512604561057631,0.288777627863089
"GM19454",0.131561881231682,0.0559673783089487,0.266050808256736
"HG00243",0.13332043522588,0.0610991194992779,0.270735647706437
"GM19067",0.138760734584216,0.0617937295149607,0.280578871379263
"GM18606",0.139735418251623,0.0570700222843262,0.298617680936338
"GM19679",0.140270693508624,0.0561440940790863,0.308287336373368
"GM19026",0.140449911107494,0.0635001955655615,0.27706247990913
"GM18531",0.141091599787983,0.0576458908826852,0.311230629758254
"HG01353",0.145801553483572,0.0526884546726216,0.35364816147047
"GM18783",0.145931015725237,0.0657188574686177,0.292889911748334
"GM19787",0.147261801813409,0.0708212769932359,0.281291459003645
"GM19116",0.14782112776393,0.0696573320300913,0.283844681922723
"GM18859",0.148401992598339,0.0789528877802931,0.253193022835675
"GM20521",0.151451258262933,0.0792175197907632,0.267934650754984
"GM19371",0.151764085653728,0.0721382930873191,0.278115799152376
"GM18798",0.155237976848427,0.0719108732341601,0.317592234331235
"GM18577",0.157031067098802,0.0684591024682324,0.315976472913194
"GM18573",0.157267667166923,0.0676439908339315,0.322877033419157
"GM11930",0.157490510304306,0.0685753191264848,0.33562549224925
"GM19209",0.1638839720286,0.0768005398268108,0.31429813793465
"GM19716",0.165918606116112,0.0685831736295347,0.345927274346364
"HG00240",0.169407168914766,0.0755028301986104,0.344551098656942
"GM19093",0.171980560679138,0.0724334854293482,0.349126327863923
"GM18525",0.179370742414717,0.0830797793926344,0.334637638656455
"GM19649",0.180663733666955,0.0774920541212105,0.396022879469841
"GM18955",0.186800131481514,0.0837220572835822,0.344312106516131
"GM12154",0.19585604922447,0.0935797592569901,0.372422856447602
"GM12751",0.197498193087113,0.105412723586154,0.328905730343311
"GM19730",0.209067950319642,0.0864159724141702,0.405961725123398
