"CellLine","EC10_50","EC10_05","EC10_95","decile_max","freq_max"
"GM18612",0.0311275486582885,0.00879075486855926,0.0814164536875013,1,0.828
"GM18869",0.0356087229839146,0.0118092466449446,0.0846031231213037,1,0.822
"GM19657",0.0364471939636435,0.0138532441741886,0.0980845089708142,1,0.77
"GM18923",0.0370312521928379,0.0137367330320886,0.0880184113508571,1,0.81
"GM20818",0.0384478143738743,0.0121582574995368,0.101763671319375,1,0.78
"GM19002",0.0428767021272282,0.0143229239531484,0.11920935070403,1,0.668
"GM19773",0.050218969071772,0.0185975828786813,0.11228898229341,1,0.586
"GM19355",0.060785136873389,0.0227107053233526,0.143586429610564,1,0.446
"GM12892",0.0666739994514905,0.0299513474525917,0.127578108672978,2,0.356
"GM20766",0.0720512144039817,0.0304582119563587,0.159447006452481,2,0.316
"HG00150",0.0720613111586037,0.029729135090629,0.159861080001222,2,0.312
"GM19438",0.0727968921927074,0.0274992707146733,0.177204085486675,1,0.33
"GM19041",0.0822292859077556,0.0333757945769576,0.170015076532338,2,0.266
"GM18517",0.0824054299190065,0.0336669431620332,0.184506477035651,2,0.256
"GM12341",0.0833409626523037,0.0358800521239001,0.174984929076995,2,0.278
"GM18873",0.0860400378000722,0.037536812733324,0.184871973802892,2,0.31
"HG00156",0.0891354461054269,0.0430012815643243,0.179904397758344,2,0.268
"GM20770",0.0900340851309927,0.0378414642677067,0.188566784180274,2,0.276
"GM20532",0.0927405769099423,0.0428267313923755,0.195842744160759,2,0.256
"HG01260",0.0948919775321608,0.038796129419354,0.2151206834533,2,0.24
"GM19120",0.0959365705282043,0.041828554323807,0.214370943062785,2,0.218
"GM12344",0.0970483074803156,0.0358978175444205,0.231439490818435,3,0.2
"HG01354",0.101021835349913,0.043234074541718,0.222337881963682,2,0.206
"HG00130",0.104009331128484,0.0480274264280722,0.205650027238524,4,0.24
"HG01488",0.104395165214326,0.0479358500402512,0.203902868186449,4,0.228
"GM19729",0.104996338076617,0.0392934232650916,0.260846682481376,2,0.188
"GM19441",0.109933848102644,0.0427178014988357,0.249034744951674,2,0.196
"GM19795",0.116291875542752,0.0507541475221139,0.221777993699641,4,0.228
"GM19089",0.117262098570078,0.0547208229563622,0.223070244166628,4,0.22
"GM12003",0.120835555867532,0.0574022844146956,0.239642263798287,5,0.2
"GM20759",0.123481461689948,0.053836943505663,0.282901822049705,4,0.19
"HG00243",0.125655961943945,0.0526685811297363,0.278023209737582,4,0.188
"GM18986",0.126388996854697,0.0503297468486931,0.284133792890277,4,0.198
"GM20773",0.131049344895317,0.0557777283784855,0.272658360232009,3,0.192
"GM19454",0.132302117060328,0.0617352193757542,0.27279704356958,4,0.222
"GM19026",0.136994241011525,0.0583178724505358,0.281784817213237,4,0.198
