"CellLine","EC10_50","EC10_05","EC10_95","decile_max","freq_max"
"HG01353",0.138750043563406,0.0517016177937718,0.355958107339872,4,0.158
"GM19067",0.139520774317441,0.0589904702690596,0.297736859912784,5,0.172
"GM18531",0.141078549623919,0.0544398462924285,0.307233930119383,4,0.16
"GM18606",0.141402926985978,0.0599081120568491,0.287136333358275,5,0.188
"GM19679",0.142408982333778,0.0573659277801556,0.331712509695747,6,0.178
"GM18859",0.146213733865818,0.0842734590501623,0.240336301190915,4,0.262
"GM19116",0.147295956362184,0.0728546910053969,0.285281579964018,4,0.21
"GM19371",0.147846456853799,0.0781922291594259,0.277529809727487,5,0.2
"GM18783",0.14810225865991,0.0705154659940085,0.309212842250704,4,0.184
"GM19787",0.149482402015137,0.0718102629063257,0.282574191375009,4,0.2
"GM20521",0.15043580118412,0.0784299860389198,0.254683955524466,6,0.226
"GM18798",0.153999279080134,0.0705818138368967,0.291101914714343,5,0.224
"GM18577",0.156743066697096,0.0666443607383485,0.33054222447755,4,0.176
"GM11930",0.159851924120742,0.0720487401077599,0.335195205446229,6,0.184
"GM18573",0.16316151727055,0.0684172108562008,0.34818764997864,6,0.158
"GM19209",0.165105402895733,0.0748986833031332,0.306128138839807,6,0.222
"GM19716",0.167210508792732,0.0688382387537765,0.346761030204154,5,0.17
"HG00240",0.17073828967296,0.0735671442177093,0.340488340236128,7,0.188
"GM18525",0.179488289320498,0.092369790908836,0.334469899009588,6,0.188
"GM19093",0.179894996001643,0.0770691858386787,0.334093284131626,7,0.194
"GM18955",0.186145441917301,0.0917853260950158,0.34690265394187,7,0.198
"GM19649",0.187921085500682,0.080168446621745,0.389331195767735,7,0.22
"GM12751",0.193334924521591,0.106204952025847,0.323503588591416,6,0.262
"GM12154",0.199416353070481,0.0912932000872383,0.36399282906738,7,0.226
"GM19730",0.204549343654176,0.0983142454252716,0.372476240600242,7,0.206
"HG00142",0.223315397520124,0.112830816923662,0.386728721065032,7,0.25
"HG01441",0.225191975896805,0.109066410953858,0.370942581100287,7,0.268
"GM20502",0.236835111208108,0.11038755084734,0.419078225285799,7,0.258
"HG00141",0.242936762025103,0.123825722469908,0.415440204909388,7,0.26
"GM18740",0.244374913250096,0.107945498747034,0.449293031593195,7,0.258
"GM18957",0.245881220508871,0.0974308338666967,0.499973651454143,8,0.208
"HG01149",0.250714892805005,0.0892877737301178,0.545841292346273,7,0.186
"GM12801",0.252204776556399,0.137479363916398,0.420526636808127,7,0.274
"GM18914",0.269057524176541,0.13490808243581,0.525647300599162,7,0.232
"GM19722",0.269825256966588,0.133232058436742,0.433254767467268,8,0.27
"GM20819",0.273464249411459,0.140707720250765,0.471896065120625,8,0.244
"HG01256",0.273839960488717,0.12896449039619,0.502974748308848,8,0.22
"GM18544",0.281735899832119,0.17281234116408,0.414509421069883,8,0.322
"GM07031",0.291138056653843,0.168886115119713,0.45959550305232,8,0.302
"HG00113",0.319388977183942,0.188755833621046,0.492136452092278,9,0.308
"GM19312",0.33289386370238,0.15706770037313,0.59022876802147,9,0.254
"GM19056",0.336285049497112,0.187436749304529,0.569797307057635,9,0.286
"GM19003",0.350698942747426,0.216905449519132,0.498678032684672,9,0.414
"GM20772",0.353912066090039,0.215602604474355,0.521539467506835,9,0.394
"GM18945",0.363340414041893,0.22590148912879,0.530953805653056,9,0.376
"HG01278",0.366773370616362,0.237159736253061,0.48807335181199,9,0.434
"HG01345",0.373128541039448,0.250828137349137,0.515859721023556,9,0.458
"GM19123",0.385510371105909,0.227082924376434,0.5592010144968,9,0.38
"GM20752",0.398622545595277,0.258207039045205,0.592962007570854,10,0.436
"GM19079",0.406510499868495,0.230641584155068,0.602675486306808,10,0.456
"HG01440",0.422035581521718,0.297954340375029,0.532863597425848,10,0.514
"GM18741",0.428052979428762,0.244038244337356,0.63640221716324,10,0.532
"GM18916",0.433845732964583,0.277202354073586,0.617388960502192,10,0.554
"HG01494",0.440766911206254,0.231053733951017,0.735631530848587,10,0.57
"HG00237",0.511332477304847,0.363151481875936,0.694367565438786,10,0.838
"GM18622",0.511818703652281,0.299938440205411,0.766592898286186,10,0.754
"GM12872",0.518942524386703,0.333043977336674,0.740039158300698,10,0.812
"GM07055",0.702205949642873,0.431291508215218,0.967991790170589,10,0.952
