Cell line,dose_0.1_r1,dose_0.1_r2,dose_0.1_r3,dose_1_r1,dose_1_r2,dose_1_r3,dose_3_r1,dose_3_r2,dose_3_r3,dose_10_r1,dose_10_r2,dose_10_r3,dose_30_r1,dose_30_r2,dose_30_r3,dose_100_r1,dose_100_r2,dose_100_r3,dose_1000_r1,dose_1000_r2,dose_1000_r3,dose_1000_r4
GM19089,149.6850324,160.7399521,151.4240085,124.9667288,126.084642,120.743501,58.63721054,57.51929731,64.59941443,21.37343625,16.77757076,17.02599592,8.331115252,7.337414604,8.08269009,8.455327832,5.971076213,4.604737823,2.493123946,2.98997427,1.747848461,2.98997427
GM19312,127.4484971,136.3600477,137.1890292,109.8326411,104.8587524,96.15444714,35.43155557,39.36921748,39.99095358,5.173732473,5.795468564,2.686788108,0.614334471,1.028825198,3.308524199,3.93026029,3.93026029,-0.214646984,0.614334471,1.028825198,1.028825198,0.407089107
GM19679,142.947684,146.3496778,131.5778629,111.2554266,117.2536787,105.7943314,64.61230203,55.65968694,55.21205619,26.11605715,25.57890025,22.53501112,12.95571298,10.3594546,7.942248527,4.003097889,4.808833247,6.241251661,4.898359398,4.271676342,2.302101022,2.212574872
GM20502,142.046513,145.937707,136.7745728,111.2935281,114.6198714,106.9630058,72.82091641,73.19748357,70.05942389,36.92151364,35.16420022,39.24367781,24.87136446,30.01778234,26.00106594,23.86718536,23.30233462,25.87554356,18.40696151,16.5868869,15.95927496,12.44464811
GM20521,143.9056569,147.7209071,147.5392285,130.0980848,122.7401023,120.46912,74.50443923,75.04947497,71.68842123,40.43970542,40.16718755,37.35116956,18.27491862,23.81611532,17.91156146,16.36729353,13.55127554,13.64211483,7.555882385,9.736025348,6.284132323,7.192525224
GM20752,165.1152137,162.8888176,171.1759586,137.0378854,130.9771405,123.4321316,76.3067479,66.16427688,71.73026708,20.52315727,13.59659169,11.8649503,3.948875349,3.206743323,4.938384718,5.433139402,4.319941362,3.948875349,4.691007376,3.577809336,3.206743323,2.217233955
GM20819,150.7075779,138.8081276,139.1723965,113.1878828,125.6944478,109.9094628,83.56068016,68.98992479,80.16083724,30.62026896,26.73473419,21.51354685,10.70690328,15.32097582,10.9497492,11.07117217,12.04255586,11.31401809,7.914175167,12.64967066,7.064214437,6.821368514
HG00243,162.6952898,128.8183728,142.1736958,103.0849455,115.7887894,96.57015377,49.82652314,44.45181997,39.23998659,5.200199823,2.757152927,5.363069617,2.594283133,4.385850858,1.454194581,4.548720651,2.105673754,1.942803961,2.92002272,1.128454995,1.617064375,-0.988852315
HG01149,129.2209992,140.42337,138.4674005,105.0381033,106.8162574,101.8374259,51.51566469,50.98221846,50.98221846,14.70787468,12.75190517,8.83996613,4.216765453,4.038950042,8.83996613,6.706181202,4.572396274,5.639288738,3.3276884,2.438611346,1.193903472,1.549534293
HG01256,140.9440445,157.2153141,144.036322,129.1639398,114.1443063,128.2068063,81.89626963,74.46007853,70.77879581,34.03959424,33.37696335,37.42637435,24.98363874,21.37598168,22.77486911,19.53534031,17.17931937,16.66393979,14.97054974,12.6145288,10.33213351,4.810209424
HG01278,171.3651523,173.9624975,155.2245069,121.8300682,110.6985887,124.6129381,69.69763898,55.04119089,59.1227334,15.70996312,13.85471652,11.44289595,3.836384919,5.320582194,5.877156172,2.537712304,1.795613667,8.474501402,0.86799037,1.424564348,2.723236964,1.239039689
HG01353,156.9667365,156.9667365,146.3945104,142.1028146,142.9402187,130.79786,76.78529891,70.29541754,64.3289137,19.00441963,30.30937427,25.38962549,8.536869039,11.99116074,12.20051175,15.02675041,15.65480344,17.22493603,12.20051175,10.00232612,16.28285648,7.176087462
HG01354,165.5427497,147.9669768,142.5590467,122.4724491,118.6096419,107.2143606,59.50869132,47.92026964,51.97621723,15.6658293,11.60988172,11.22360099,8.133355214,6.781372685,5.043109434,11.03046063,10.25789919,6.00881124,5.815670879,7.360793769,7.360793769,8.326495575
HG01488,159.8889232,144.8935514,160.1666152,101.8512805,110.1820426,105.1835853,27.98518976,33.53903116,20.48750386,4.936747917,2.715211355,3.270595495,1.326751003,-0.061709349,0.493674792,1.882135143,2.437519284,1.326751003,1.326751003,0.493674792,2.437519284,0.493674792
HG01494,127.5463994,141.29561,135.586192,101.7957593,92.70729809,93.28989176,44.35202366,43.07031759,37.82697458,11.61025952,10.56159092,10.79462839,9.512922319,4.386098042,7.182547648,5.784322845,6.250397779,8.697291184,7.532103849,4.502616776,6.250397779,4.852172976
GM07031,152.120658,146.9581044,152.283686,134.5136331,135.8721998,131.1987303,112.4505094,101.3646048,101.9623742,73.32378743,70.22625527,70.06322726,49.0869569,38.49013637,47.18496347,39.63133243,36.64248562,36.47945761,30.12136529,34.3600935,36.47945761,29.95833729
GM07055,133.0736941,123.0532672,132.1847853,101.1537857,95.49709309,113.3560798,64.38528362,60.34478888,70.93088509,33.27347415,32.78861478,29.55621899,18.48526342,16.46501605,15.17205773,16.38420616,20.343891,13.47504995,12.42452131,10.32346405,8.626456262,10.56589373
GM12892,150.2623017,146.166148,139.7576495,134.4722899,131.6974761,114.4539904,76.20120022,78.18321007,81.48655982,49.70833519,50.50113913,46.47105243,30.48283962,28.96329874,27.90622681,22.48873322,21.49772829,23.28153716,15.68383272,14.89102878,11.25734405,10.39847312
GM18531,132.1511628,132.0697674,117.8255814,104.4767442,107.4069767,102.3604651,63.53488372,60.27906977,54.41860465,29.18604651,27.96511628,24.95348837,15.02325581,11.36046512,8.511627907,12.41860465,7.779069767,10.62790698,11.27906977,8.26744186,9.406976744,10.70930233
GM18544,95.96153023,142.0591852,121.3229491,130.7274874,126.4106502,128.2607233,72.83561635,65.1269784,72.37309808,36.0654133,27.58591155,30.28393483,21.03356928,16.40838651,19.33766893,18.48971876,21.18774204,18.41263238,15.17500444,16.79381841,15.56043633,10.93525356
GM18606,146.405203,141.651557,147.4694521,134.7694127,140.3035081,128.8096177,88.29720142,85.24635396,79.42845881,39.34174222,35.72329523,41.25739062,23.02325581,23.37800552,20.46905794,24.08750493,15.28971226,21.9590067,19.47575877,16.07016161,11.17461569,10.25226646
GM18612,138.403386,153.5049734,129.5572678,126.7770593,148.1973025,134.4226328,94.10960862,89.18105707,81.59867007,61.12622518,53.60702474,54.36526344,32.7554605,38.25269107,34.84061692,31.30216966,28.01646862,30.54393096,26.37361811,23.27747675,24.66758103,23.15110363
GM18798,117.4496287,126.9356685,126.9356685,97.99845626,89.85387666,103.7475713,62.3539432,59.67102286,63.79122195,29.39235048,27.5717974,19.04394347,20.76867797,11.85754971,9.749540869,8.408080701,10.61190812,12.81573554,6.779164781,9.078810785,5.246067446,5.725160363
GM18859,126.4909149,128.6358746,139.4798378,130.1850122,128.2187991,130.3041767,82.87673338,81.08926693,77.51433402,44.62495123,39.85837402,32.94683706,22.75827826,21.92412725,20.1366608,24.60532693,22.1028739,25.67780681,19.18334535,21.20914067,22.99660712,18.82585206
GM18869,129.4980888,125.9548186,127.4639893,115.849937,121.0992261,117.6215721,80.35161905,77.98943893,87.70062387,43.80344328,37.37306406,39.01346693,22.47820608,19.00055201,19.8535615,18.34439086,21.55958047,14.14495954,15.12920125,12.76702113,9.22375095,5.680480768
GM18916,131.4993821,142.2413014,133.5067105,123.9583378,119.5639163,111.8058635,73.61237293,65.04053839,69.54346413,38.7825136,36.77518525,35.0391175,28.4746113,29.28839306,26.30452661,26.19602237,26.63003931,24.62271097,23.1579038,22.56113051,22.18136569,22.45262628
GM18923,130.465227,134.978443,129.6579851,109.8805591,101.9916043,113.1829122,66.36288318,71.24302727,67.90398132,40.82468553,36.56831925,34.91714268,24.27622699,24.27622699,19.50616133,20.71702415,22.2948151,19.3960829,18.62553383,19.21261883,14.99294537,14.29578193
GM18986,147.6777943,143.8387822,151.2270697,109.7947123,107.8389891,103.2756351,63.79900087,61.9157119,58.36643653,38.88163908,36.41887658,38.30216555,32.36256187,33.44907474,30.91387805,28.16137878,30.62414128,27.79920782,26.27808981,22.72881444,26.20565562,23.59802473
GM19002,165.804718,141.1356578,125.409132,127.0126209,122.5105174,129.109491,94.81949737,87.23376137,95.12786062,50.60020704,55.78070968,56.52078148,36.47717011,33.39353759,30.30990507,31.91339398,35.8604436,35.05869915,32.03673928,32.90015638,29.01477941,31.42001278
GM19026,139.7099675,137.3369744,130.8959932,121.5735204,125.9805076,115.4715382,64.79118603,60.32769904,60.21469937,34.22477518,36.0327699,35.01577287,21.34281275,21.51231226,19.19581901,22.52930929,19.93031687,19.76081736,20.09981638,20.21281605,17.44432412,13.15033664
GM19041,130.799553,142.8213569,114.610829,100.8647823,129.2668927,107.8096491,67.91258667,71.79213295,66.14044824,59.19558144,58.62083384,50.47857621,43.8210832,49.32908101,45.68901289,44.5395177,40.99524085,48.27537708,41.66577971,34.86459981,37.40306836,43.1026487
GM19079,113.1222671,154.5552819,115.5690987,114.6719271,110.6754356,89.71424503,60.84163239,60.76007133,66.38778397,47.05781449,42.81663975,40.53293028,30.6640429,36.29175554,33.6002408,32.45838606,32.78463027,35.88395027,29.27750501,25.03633027,27.23847869,20.06110606
GM19093,125.2790017,136.1039281,140.0694952,102.5037852,105.1832225,93.07216618,63.81271159,55.61363366,59.47202327,42.10927,40.34084143,40.34084143,39.80495398,36.53604056,36.37527432,32.24894098,35.89297562,40.71596264,29.78385873,25.87188037,26.94365526,22.33502322
GM19116,121.2375421,98.46695178,125.0969642,117.1851489,115.0624667,97.69506737,57.75004882,53.31171342,52.92577121,25.81333109,30.15518093,28.9973543,14.13857929,13.84912263,13.75263708,12.4983249,18.09448692,11.53346938,14.5245215,12.98075266,11.43698383,11.43698383
GM19120,83.83719945,75.80417211,117.1489842,95.46542784,117.5983843,90.1849763,83.55632437,63.95124365,74.34362168,50.01983959,57.71581683,48.27841408,31.8753093,28.7856834,30.19005881,27.66218307,28.05540818,28.33628326,22.60643159,23.89845697,22.43790654,17.04510497
GM19371,146.7708522,146.7708522,127.850618,115.5374498,115.8377709,125.2228077,73.04200325,71.1649959,59.22722912,37.82934527,47.28946234,45.71277616,28.21906761,28.81970997,23.63916967,14.32921319,18.30846878,14.02889201,10.57519848,12.37712554,7.271665531,6.220541412
GM19441,137.6239552,137.046667,128.5316664,103.9969188,106.3060715,92.73979938,58.10250874,59.40140714,53.91716946,26.56814205,25.84653183,25.99085388,14.51725135,9.754623889,9.033013668,14.44509033,11.19784433,13.00186989,10.62055616,8.816530601,9.177335712,5.352801537
GM19454,145.3310951,136.4302385,145.9053439,143.2255161,128.8214417,130.3049178,98.09913008,82.40299582,90.49033329,57.71029679,61.25149781,53.49913882,39.8128754,40.96137303,35.98454997,36.41523658,36.70236099,35.50600929,33.59184658,30.24206183,28.23219098,29.57210488
GM19716,153.1120672,143.48922,147.2244041,141.4000492,134.4994548,130.0045723,72.14087248,70.62147555,71.95094786,42.1960913,42.76586515,45.6147344,34.78903127,33.71279177,31.11715535,31.24377176,30.80061432,31.87685382,31.43369638,29.4078338,26.30573174,29.28121739
GM19722,139.6559464,154.4600054,133.3712044,138.5386589,116.9610446,134.4186614,79.25259232,81.34750633,71.57124093,38.19227764,40.70617445,35.81804175,22.27093113,21.92177879,20.94415225,27.4383857,23.59771,26.18143729,24.01669281,27.57804663,26.46075916,26.53058962
GM19729,156.6239092,153.3512565,145.6289444,119.5338452,112.4718052,107.3905812,63.18106218,57.84147092,35.82283384,31.34446698,33.35399057,34.07167756,26.43548791,25.71780092,25.28718872,23.13412773,24.25371944,24.56950172,25.11494384,24.54079424,23.39249504,19.8901825
GM19730,141.1483865,156.8438552,152.3082825,118.9479517,131.5998124,131.3014195,83.08112025,79.85847649,86.78119272,53.18214758,56.28543416,55.92736263,37.24796453,36.59150006,37.60603606,38.97864359,33.66724924,39.69478665,36.11407136,39.69478665,36.77053583,36.17374995
GM19795,117.5201839,136.5342684,130.0106076,113.9401261,132.3177559,113.7810124,72.49101302,74.79816135,62.62596499,37.00866286,34.06505981,33.03082091,25.55247805,24.35912546,22.37020449,21.17685191,23.56355707,22.13153397,20.93818139,23.88178443,16.56255525,15.36920266
GM20532,117.6597313,130.5825418,144.1547398,110.3865917,131.8813167,141.4922512,78.82636101,74.15077128,74.99497498,47.00637534,45.77253916,44.60364172,34.86282978,35.51221725,31.16132125,31.22625999,33.7588711,31.22625999,30.05736256,28.75858763,26.29091528,19.92691814
GM20759,148.2198617,140.4323621,145.8371193,122.6489675,119.8594154,125.8453293,52.96828084,58.7798477,45.9944006,34.19691987,30.47751708,34.66184522,19.26119303,21.41147277,18.85438335,17.98264832,18.97061469,19.78423405,14.84440222,14.67005521,11.58992477,6.650092939
GM20766,147.5613892,132.5292424,142.9547636,156.0472785,127.0740278,141.4394262,81.55329297,83.97783278,86.52359958,60.21734268,53.18617724,50.03427549,34.33538024,38.45709791,35.54765014,36.69930655,33.72924529,36.69930655,29.12261966,31.91084043,31.97145393,26.45562587
GM20773,132.774858,127.8562182,135.9575073,109.6283178,107.8923273,116.5722798,74.47450982,70.49619822,71.36419347,37.65704428,31.79807629,33.5340668,19.28447798,18.12715097,19.5014768,17.25915571,24.9987801,22.68412608,18.99514623,19.06747917,12.05118416,16.75282515
HG00130,127.190873,134.9756725,128.3317488,113.9030256,124.1037973,122.7615905,90.01174431,92.49482691,80.21363458,64.17426318,61.08718752,61.69118058,48.33622281,51.15485711,47.86645042,42.83317488,40.35009228,42.6989542,38.00123036,36.05503048,35.24970639,34.51149265
HG00141,114.5999658,130.8265853,139.0895871,114.8993499,107.35487,105.3190579,106.5764713,87.65539462,84.78130703,56.69907619,55.86080064,53.82498859,41.37060903,40.77184078,43.34654425,31.61068659,32.26933166,34.60452783,26.22177235,26.1020187,34.06563641,25.74275776
HG00150,127.7416067,114.3137366,137.0571917,107.4319531,101.0537148,105.6695452,73.69442937,64.54669282,63.87529931,48.51717282,41.04792005,43.48172151,38.4462702,32.73942539,42.64247963,38.27842183,37.10348319,37.18740738,36.09639293,29.7181546,28.87891272,23.42384046
HG00237,145.6515167,133.3165373,139.5747254,111.36753,108.9186738,106.6512144,69.01138769,63.84158017,64.9299607,32.45994155,32.18784642,27.92502267,25.83895999,18.31099466,17.40401088,18.76448655,13.95747254,19.7621687,10.69233095,10.60163257,10.96442608,7.427189358
HG00240,140.3821294,133.0890358,145.2441918,120.4476736,112.8072898,119.8920093,78.4950208,65.64528443,67.10390316,38.07044478,41.3349724,38.27881888,32.37488596,33.13892434,27.86011372,32.58326006,33.48621451,36.54236802,33.13892434,35.84778768,40.57093402,34.31971092
HG01260,146.3108286,134.6942096,146.857493,109.4109799,109.9576444,100.3226839,66.97615393,61.57784274,64.85782929,41.14625985,35.81628171,29.87130608,25.70298984,25.29299152,21.80800581,21.94467192,22.42300329,21.05634223,18.11802094,23.65299825,20.85134307,17.63968957
GM12344,152.1538235,144.7252148,139.6576368,133.8414394,126.3552446,107.0926896,85.12358734,86.39048184,81.38048996,50.77347063,43.97830923,46.28175377,31.30936426,28.68919609,27.0191988,20.88627771,17.71904147,16.76887059,10.95267313,11.67249955,10.57836339,6.979231294
GM18517,143.7338077,142.7012935,142.959422,121.4056889,124.1160385,123.6643136,104.3692052,90.94652103,92.04356733,67.58588807,65.00460266,59.77749971,50.6139365,42.35382319,46.2257513,34.35183842,42.99914454,43.19274095,30.35084604,31.44789233,30.93163525,24.8010824
GM18577,144.7299728,157.2489329,137.8408409,107.6175526,111.6176937,100.7284208,80.35733183,76.72757416,70.50513246,48.87473985,43.02268158,39.02254048,26.72581043,22.05897915,22.28120921,17.54030125,17.31807118,16.72545769,16.94768775,13.39200677,14.3550037,7.76217856
GM18914,120.2006268,128.3516516,127.0021442,134.4514252,126.3004004,121.4421736,104.0065376,97.09705957,105.0321633,64.70888126,58.60910768,58.0693047,41.87521555,40.74162931,38.36649623,38.09659474,35.1276784,33.67021037,27.73237768,28.16422006,30.37741224,28.16422006
GM19056,152.3710279,156.2731484,131.1202903,130.2238572,111.0823739,111.0823739,99.37601225,90.25348717,89.09339728,53.9743123,50.54677397,53.60519278,29.45423044,28.82145413,27.08131929,26.81766249,24.70840814,23.54831825,17.3260179,20.0153172,19.48800362,16.27139073
GM19067,159.7618407,150.5886706,154.7665501,108.0832885,111.8978741,105.8127018,84.37836383,67.48519914,73.93366523,42.50874596,43.05368676,37.51345533,24.43487621,17.44146932,18.53135091,10.5388859,12.35535522,14.89841227,10.17559203,6.633476857,6.724300323,6.270182992
GM19355,155.617313,147.3817578,139.1462026,143.571277,130.4804318,126.6084916,82.35774717,74.79824499,74.55240752,43.45396767,42.59353652,42.65499589,27.781829,25.99950735,25.81512925,25.87658861,25.81512925,26.67556039,28.33496331,30.9777161,27.90474774,21.5744329
GM19438,128.3703016,131.3936168,134.1813491,118.3972877,120.5960624,107.9923716,82.39235165,82.98130917,55.73220819,47.99723283,45.0917091,49.92116071,30.79967342,31.2315756,27.85488585,24.20334927,26.04874948,26.40212399,23.33954491,24.67451528,24.0070301,22.31868522
GM19649,138.2319563,141.4154962,156.3250748,132.0240534,119.9266017,109.314802,88.19732052,88.30343852,90.69109346,52.22331943,53.92120739,48.24389453,29.08959601,32.53843093,29.620186,25.32240711,32.43231293,29.99159899,23.04087017,27.65700305,23.14698816,17.57579331
GM19657,143.2205711,144.5605089,143.1690351,130.6973068,132.1403167,124.1006902,92.3029368,81.11961023,79.52199215,49.68260928,44.11671403,46.89966166,29.17125457,29.68661524,29.68661524,27.26442008,25.76987414,29.4289349,25.61526594,26.74905941,26.18216267,22.72924618
GM19773,142.4729934,137.1292338,143.6435312,129.6479702,121.7086702,120.1309888,85.16753272,76.41394548,84.55681733,54.17372672,49.84782604,49.23711065,29.7960041,30.20314769,31.83172206,31.57725731,31.72993616,28.72725216,26.53885535,34.83440606,25.82635407,27.45492844
GM19787,141.2069867,140.2483406,131.0879449,131.2477193,122.8329372,112.7138954,78.36241161,82.99586756,75.16692474,57.53848885,50.29538528,52.53222609,37.72647027,37.40692158,32.82672374,34.69075774,35.59614569,38.09927707,28.29978401,35.96895249,36.60804987,31.54852899
GM20770,104.87817,122.2892704,116.7778429,122.9781988,139.1993319,111.7674543,77.00788341,83.39612888,85.08713503,48.07288922,45.81821435,48.63655794,34.23169071,33.3548727,29.47182153,26.2776988,29.15867225,26.46558837,20.13997276,18.07318746,16.63270074,17.25899931
GM20772,149.1984698,144.6528342,134.2628101,121.2162457,132.9050228,111.2394611,96.95317789,87.97997521,95.24118528,62.12298329,61.11940141,59.52547725,47.77766585,45.12112559,40.22128465,36.67923096,38.8634974,36.73826519,29.71319204,29.0047813,27.41085714,27.46989137
HG00113,146.3246267,154.4759496,149.9062686,140.2111346,137.2470171,122.9204496,90.31515802,81.91682534,84.9426952,49.18802885,47.82947503,48.38524705,34.92321377,33.56465996,33.99692708,31.27981945,30.60054254,33.6264124,31.52682923,36.28176759,30.47703765,28.13044469
HG00142,145.1398688,158.4640442,140.341452,132.4154956,141.1554691,133.9150008,116.4778967,109.8372306,109.5373295,71.57842481,64.2094275,61.98159111,47.67202658,46.34389334,44.71585905,41.11704642,39.53185514,39.74607017,35.33324039,32.97687498,31.56305573,33.79089212
HG00156,145.6309582,170.7147971,134.6320509,103.3761634,119.755831,122.0505671,84.62263085,80.50793172,86.04694977,59.77617845,54.15803158,65.07781002,62.70394514,46.48253514,40.07309997,41.81393421,35.32537021,41.41829006,29.15332153,34.05930894,33.98018011,34.61321075
HG01345,131.0567216,145.8761952,149.9056594,126.7138547,120.0876249,120.311484,80.68842009,73.30106919,71.82359902,54.58644693,48.49747892,50.60175463,36.18522743,35.91659649,35.82705284,31.34987048,31.17078319,30.72306495,23.96251959,25.79816436,23.69388865,23.29094223
GM12341,125.4023044,145.908892,144.8004278,129.2819291,109.8838057,117.6430551,32.29131217,47.80981088,53.35213185,12.89318878,7.350867811,6.796635714,4.02547523,0.700082649,5.133939423,3.471243133,0.700082649,3.471243133,-0.408381545,4.02547523,1.808546842,2.362778939
GM18622,128.4480576,134.6733698,134.4084629,108.7124936,107.652866,121.8253851,68.97645861,66.59229651,63.28096026,30.30005122,28.97551672,36.79027026,12.15392857,15.46526482,12.28638202,12.41883547,8.31277852,10.43203372,7.91541817,5.133895721,4.868988821,2.352373271
GM19123,129.7621407,106.5713206,136.5393666,106.6772148,118.0078894,106.0418499,74.06181494,66.3315416,66.64922406,39.9638969,40.81105015,42.8230391,23.23262035,17.51433596,21.75010218,11.58426326,15.92592363,17.62023012,10.3135334,13.59625221,10.94889833,5.124719783
GM19209,129.5094766,124.9476681,140.9540138,123.3470336,119.9056693,109.981735,78.12910718,81.33037631,81.73053495,50.51816098,49.87790715,48.43733605,38.99359213,36.75270374,38.3533383,33.63146634,26.82876945,30.75032413,23.86759551,31.63067314,24.26775415,13.46347085
GM20818,108.6292949,120.8800368,126.9297859,113.4690942,119.9725745,123.1486928,68.24721964,71.8770691,78.22930566,38.90593648,33.30991856,38.30096157,17.27808344,20.00047054,20.15171426,10.92584688,8.203459784,8.354703512,7.598484874,7.598484874,8.808434695,5.32982896
HG01440,112.1486477,128.6871428,119.8053584,102.6543264,93.46627353,95.3038841,64.67704129,54.72331737,55.48898844,27.15915884,25.78095091,34.81586954,10.16126107,6.179771508,11.38633479,4.342160939,4.342160939,3.27022144,4.189026725,2.810818798,2.198281942,4.035892511
HG01441,116.0599792,100.7916891,129.6626376,80.6190392,111.4332246,97.46042583,75.89974954,61.37174019,82.56227612,43.97514302,49.61978359,46.93626594,34.90670406,32.13065132,35.46191461,31.85304605,30.92769514,29.63220386,29.63220386,20.37869472,23.15474746,19.91601926
