Cell line,dose_0.1_r1,dose_0.1_r2,dose_0.1_r3,dose_1_r1,dose_1_r2,dose_1_r3,dose_3_r1,dose_3_r2,dose_3_r3,dose_10_r1,dose_10_r2,dose_10_r3,dose_30_r1,dose_30_r2,dose_30_r3,dose_100_r1,dose_100_r2,dose_100_r3,dose_1000_r1,dose_1000_r2,dose_1000_r3,dose_1000_r4
GM11930,183.3653257,118.1286502,109.380437,109.630386,156.9957117,102.006943,66.01429447,60.26546865,60.5154176,22.89810088,29.77169696,26.6473351,15.02470901,15.77455585,13.02511742,7.151317133,9.275883194,8.2760874,8.526036349,7.776189504,7.901163978,31.39636512
GM12003,148.5456544,152.0876965,146.0662249,109.5831916,114.8254139,112.4876661,55.46078875,58.15274073,64.10337141,26.9827705,24.29081852,27.97454228,16.14412176,16.99421185,16.49832596,15.15234998,13.59385146,14.79814577,10.26433192,7.784902467,9.272560137,3.95949703
GM12154,147.755319,152.3334993,153.2660916,130.9686579,130.2056279,120.2862372,77.38699215,71.5370951,71.62187622,39.65939523,40.50720639,41.5245798,21.60101737,20.24451951,19.22714611,17.61630489,7.188227536,10.74903444,3.542639519,2.949171702,6.086073019,4.136107336
GM12751,137.3994557,120.1108578,126.1465222,111.0062115,117.2464747,106.1981399,78.57730291,63.53929166,71.82554276,32.644874,26.30231143,33.56556856,19.24365309,21.39194041,22.61953317,23.94942532,16.89076698,18.83445551,12.28729415,15.56087483,11.77579717,7.786120713
GM12801,131.6365008,132.3906486,125.3016591,126.9607843,125.2262443,109.7662142,82.46606335,79.14781297,78.31825038,37.36802413,37.36802413,37.36802413,24.17043741,21.15384615,18.9668175,16.70437406,17.08144796,16.9306184,14.74358974,14.36651584,7.956259427,6.37254902
GM12872,146.9145169,160.7991907,152.035913,126.8841679,133.2574608,131.3227112,73.28022256,60.98887203,59.96459282,32.53667172,25.48052605,18.31057157,11.7096611,7.953970663,7.612544259,10.23014669,9.205867476,8.63682347,5.450177036,4.653515427,5.108750632,4.425897825
GM18525,152.9685025,167.1786472,143.0439569,114.6236675,118.458151,105.8269112,53.94860503,53.49748933,63.196477,9.288150157,9.51370801,14.70153863,7.483687334,4.551435246,4.776993099,6.130340216,8.837034451,3.874761687,8.837034451,5.453666658,3.423645982,6.355898069
GM18573,136.4356195,147.2744937,149.7313052,103.9189969,110.711358,111.0003947,53.77113884,41.4870814,50.73625406,13.16149012,8.825940432,9.2594954,8.536903786,8.24786714,6.369128943,5.357500683,3.478762486,7.814312172,3.623280809,5.357500683,5.935573975,3.045207517
GM18740,144.4335435,144.4335435,147.9875402,100.4721493,115.6152658,110.9023571,61.30092468,60.68283829,57.59240637,28.15604228,32.55990778,29.00591106,20.81626646,19.4255721,16.72144416,13.47649064,12.00853548,11.1586667,11.93127468,7.681930784,6.832062005,3.973412475
GM18741,139.1930881,154.1615239,148.5483605,112.6241146,113.7467473,114.86938,69.58986171,62.10564382,49.38247341,14.95507111,11.7742785,9.716118584,7.470853217,4.851376955,2.41900614,4.290060613,3.541638824,3.915849718,4.290060613,1.670584351,3.354533376,5.974009638
GM18783,135.7653432,153.0916848,137.5055434,120.5575062,122.3733674,121.2384542,86.51011011,73.64776045,68.95678587,32.26125893,32.86654597,28.32689315,20.98778776,17.28040463,17.50738727,19.09626575,19.17192663,16.97776111,17.35606551,14.10264765,13.27037797,12.74075181
GM18873,144.4816054,180.0547279,172.9401034,113.8339921,97.96290666,98.51018547,20.2493159,25.72210398,34.47856491,2.189115233,3.830951657,2.736394041,0.547278808,0.547278808,2.736394041,2.189115233,2.189115233,1.094557616,4.925509273,1.641836424,0.547278808,2.189115233
GM18945,151.3973479,147.0243663,150.330767,138.5983773,141.904778,146.704392,90.3889211,72.36370408,86.44257181,46.12581422,35.99329578,37.27319284,20.52787289,17.96807876,17.96807876,17.5414464,14.98165227,14.87499418,7.728902226,8.155534581,4.635817649,6.129030893
GM18955,150.8738282,141.5738693,142.6306828,118.5353348,110.7149148,112.4058164,59.24809676,57.02878838,60.93899838,21.62553575,19.40622737,20.04031548,13.38239036,10.10626847,12.74830225,10.00058712,6.724465233,11.69148874,7.252871989,10.74035658,7.147190637,8.943773607
GM18957,131.9757701,136.1515659,130.5838381,128.4959402,113.1846887,127.7999742,32.45263565,38.71632942,24.10104395,8.093826524,8.789792499,3.918030674,0.438200799,1.134166774,2.526098724,3.918030674,4.613996649,1.830132749,1.830132749,2.526098724,1.830132749,0.438200799
GM19003,160.1687533,150.8876372,161.3663166,113.3140868,98.19484935,112.8650005,45.35236604,53.73530956,44.15480268,14.66480491,14.66480491,14.51510949,9.126074363,5.38368886,6.581252221,4.485516339,4.485516339,4.335820919,3.287952978,2.389780457,4.485516339,3.287952978
